,q,w,e,r,t,a,s,d,f,g,z,x,c,v,b,y,u,i,o,p,@,[,h,j,k,l,;,:,],n,m,",",.,/,\
q,0.15143279999999998,0.1276391,0.1163986,0.1114417,0.10667830000000003,0.1885331,0.1482775,0.1406755,0.11898299999999999,0.1107075,0.2468373,0.20475720000000008,0.20034960000000002,0.14592,0.1514711,0.1255889,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
w,0.1404575,0.13561030000000002,0.1016319,0.1024163,0.1044535,0.13137939999999998,0.1809505,0.1100021,0.1003719,0.11457060000000001,0.2389069,0.2221705,0.10407639999999999,0.1076382,0.1547542,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
e,0.136132,0.10952850000000001,0.1337337,0.0906485,0.0945608,0.116646,0.13040780000000002,0.16638139999999998,0.10757160000000003,0.101337,0.1223204,0.167747,0.21878380000000008,0.1020168,0.1175518,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
r,0.1233519,0.1055493,0.0949754,0.1569323,0.1917892,0.1129177,0.1519488,0.14758039999999994,0.1557894,0.2144558,0.142703,0.2094264,0.2351718,0.20943320000000004,0.22410820000000006,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
t,0.1212504,0.1040519,0.1010748,0.1908778,0.16319460000000002,0.0992465,0.15473470000000006,0.15588929999999998,0.1805088,0.1779093,0.1358047,0.1312229,0.1845263,0.20855279999999998,0.2111318,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
a,0.1938845,0.1382884,0.1143933,0.1053325,0.0939685,0.1348624,0.1320479,0.14335889999999998,0.0910792,0.1050807,0.19627170000000002,0.1591104,0.13844479999999998,0.0994385,0.1113965,0.1016858,0.0978765,0.099498,0.1037234,9.0,0.1447963,9.0,0.099427,0.09260560000000001,0.0879645,0.09016139999999999,9.0,9.0,9.0,0.09211269999999999,0.0969441,9.0,9.0,9.0,9.0
s,0.1421945,0.180931,0.119834,0.1477088,0.1513654,0.1355285,0.1388372,0.1272258,0.0920468,0.15281419999999998,0.1558527,0.1682285,0.1283496,0.10227639999999999,0.1012538,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.09498789999999999,0.09260349999999999,0.0796944,0.09956010000000001,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
d,0.141914,0.1103251,0.1661999,0.13598190000000002,0.1412771,0.1500001,0.14613610000000002,0.14526670000000005,0.08665089999999999,0.1043454,0.122201,0.13932550000000002,0.183541,0.1017139,0.11730530000000006,9.0,0.09178889999999999,9.0,0.089013,9.0,9.0,9.0,0.0930784,0.0939936,0.088791,0.0859479,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
f,0.1169708,0.0992545,0.1113651,0.1550977,0.1844856,0.0939978,0.0936299,0.0911373,0.14076870000000002,0.17957,0.13072550000000002,0.1256274,0.12659959999999998,0.1682557,0.2008772,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0895118,0.0880582,0.08933060000000001,0.0863638,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
g,0.11420090000000001,0.1208661,0.101948,0.2128464,0.1769516,0.113232,0.17174289999999998,0.11614260000000001,0.1758119,0.15622450000000002,0.13830820000000002,0.1216309,0.1112185,0.167472,0.17843270000000006,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.10241189999999999,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
z,0.2446429,0.2409384,0.1142469,0.12989889999999998,0.1219576,0.1954,0.1498694,0.11364389999999998,0.1266672,0.126458,0.156182,0.1616549,0.12222160000000001,0.11676669999999999,0.1163627,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
